File name	Line	Function	Duration[ms]	Explored nodes
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109090716_addedIdentity.cs	307	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109091815_addedIdentity1.cs	6	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity1.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109091815_addedIdentity1.cs	11	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity1.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109093339_addedIdentity2.cs	6	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity2.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109093339_addedIdentity2.cs	11	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity2.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109100253_addedIdentity3.cs	6	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity3.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109100253_addedIdentity3.cs	11	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity3.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\AccessDenied.cshtml.cs	7	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.AccessDeniedModel.OnGet$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Controllers\CategoriesController.cs	43	_Ecommerce_proiect_an4_sem1.Controllers.CategoriesController.Create$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Models\EcommerceContext.cs	28	_Ecommerce_proiect_an4_sem1.Models.EcommerceContext.OnConfiguring$Microsoft.EntityFrameworkCore.DbContextOptionsBuilder$	0	5
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\Manage\EnableAuthenticator.cshtml.cs	126	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.Manage.EnableAuthenticatorModel.FormatKey$string$	218	553
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\Manage\EnableAuthenticator.cshtml.cs	143	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.Manage.EnableAuthenticatorModel.GenerateQrCodeUri$string.string$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\ExternalLogin.cshtml.cs	45	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.ExternalLoginModel.OnGetAsync$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\ExternalLogin.cshtml.cs	50	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.ExternalLoginModel.OnPost$string.string$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\ForgotPasswordConfirmation.cshtml.cs	9	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.ForgotPasswordConfirmation.OnGet$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Controllers\HomeController.cs	8	_Ecommerce_proiect_an4_sem1.Controllers.HomeController.Index$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Controllers\HomeController.cs	13	_Ecommerce_proiect_an4_sem1.Controllers.HomeController.Privacy$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\Lockout.cshtml.cs	9	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.LockoutModel.OnGet$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\Logout.cshtml.cs	22	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.LogoutModel.OnGet$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Controllers\OrdersController.cs	84	_Ecommerce_proiect_an4_sem1.Controllers.OrdersController.Create$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Controllers\ProductCategoriesController.cs	47	_Ecommerce_proiect_an4_sem1.Controllers.ProductCategoriesController.Create$$	0	2
