File name	Line	Function	Duration[ms]	Explored nodes
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109090716_addedIdentity.cs	307	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109091815_addedIdentity1.cs	6	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity1.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109091815_addedIdentity1.cs	11	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity1.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109093339_addedIdentity2.cs	6	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity2.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109093339_addedIdentity2.cs	11	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity2.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109100253_addedIdentity3.cs	6	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity3.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Migrations\20191109100253_addedIdentity3.cs	11	_Ecommerce_proiect_an4_sem1.Migrations.addedIdentity3.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\AccessDenied.cshtml.cs	10	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.AccessDeniedModel.OnGet$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Controllers\CategoriesController.cs	45	_Ecommerce_proiect_an4_sem1.Controllers.CategoriesController.Create$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Models\EcommerceContext.cs	29	_Ecommerce_proiect_an4_sem1.Models.EcommerceContext.OnConfiguring$Microsoft.EntityFrameworkCore.DbContextOptionsBuilder$	0	5
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\Manage\EnableAuthenticator.cshtml.cs	129	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.Manage.EnableAuthenticatorModel.FormatKey$string$	111	553
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\Manage\EnableAuthenticator.cshtml.cs	146	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.Manage.EnableAuthenticatorModel.GenerateQrCodeUri$string.string$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\ExternalLogin.cshtml.cs	48	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.ExternalLoginModel.OnGetAsync$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\ExternalLogin.cshtml.cs	53	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.ExternalLoginModel.OnPost$string.string$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\ForgotPasswordConfirmation.cshtml.cs	11	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.ForgotPasswordConfirmation.OnGet$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Controllers\HomeController.cs	12	_Ecommerce_proiect_an4_sem1.Controllers.HomeController.Index$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Controllers\HomeController.cs	17	_Ecommerce_proiect_an4_sem1.Controllers.HomeController.Privacy$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\Lockout.cshtml.cs	12	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.LockoutModel.OnGet$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Areas\Identity\Pages\Account\Logout.cshtml.cs	24	_Ecommerce_proiect_an4_sem1.Areas.Identity.Pages.Account.LogoutModel.OnGet$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Controllers\OrdersController.cs	86	_Ecommerce_proiect_an4_sem1.Controllers.OrdersController.Create$$	0	2
E:\automatica\automaticaMasterAn1\msic\ecommerce\Ecommerce_proiect_an4_sem1\Ecommerce_proiect_an4_sem1\Controllers\ProductCategoriesController.cs	48	_Ecommerce_proiect_an4_sem1.Controllers.ProductCategoriesController.Create$$	0	2
